,long,lat,id,programa,actividad,sede,horarios,telefono,email,web,facebook,twitter,observacion,objeto,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino
66,-58.5038208496933,-34.5763854171124,15,Actividades deportivas en Plazas,Gimnasia,Alem,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,LARSEN,0,"ARTIGAS, JOSE GERVASIO, GRAL.",Villa Pueyrredon,Comuna 12,,
67,-58.4801000898555,-34.5512376276198,14,Actividades deportivas en Plazas,"Gimnasia, Yoga, CardioGym",Saavedra,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,GARCIA DEL RIO,0,MELIAN AV.,Saavedra,Comuna 12,,
68,-58.5021178279882,-34.5908860264548,13,Actividades deportivas en Plazas,"Gimnasia, Streching",Martín Rodriguez,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,HABANA,0,HELGUERA,Villa Pueyrredon,Comuna 12,,
69,-58.4482123449348,-34.5918744389672,12,Actividades deportivas en Plazas,Gym Local,Los Andes,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,DORREGO AV.,0,CORRIENTES AV.,Chacarita,Comuna 15,,
70,-58.5133387359989,-34.5991911380935,11,Actividades deportivas en Plazas,"Ritmos, Gimnasia, Newcom, Aero Local",Arenales,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,MERCEDES,0,PAREJA,Villa Devoto,Comuna 11,,
71,-58.4936048786935,-34.6054656196185,10,Actividades deportivas en Plazas,"Total Gym, Aero Local",Aristobulo del Valle,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,CAMPANA,0,BAIGORRIA,Villa Del Parque,Comuna 11,,
72,-58.3937628393379,-34.5836506533649,9,Actividades deportivas en Plazas,"Ritmos, Gym Local, Streching, Yoga, Gimnasia postural",Ruben Dario,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,DEL LIBERTADOR AV.,0,"AGOTE, LUIS Dr.",Recoleta,Comuna 2,,
73,-58.4123015475002,-34.5721614643797,8,Actividades deportivas en Plazas,"Entrenamiento Funcional, Gimnasia Correctiva, Ritmos, Gym Local, Streching, Yoga, Rollers",Rosedal,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,SARMIENTO AV.,3901,FIGUEROA ALCORTA,Palermo,Comuna 14,1425,C1425FHA
74,-58.4327860766183,-34.617019132993,7,Actividades deportivas en Plazas,"Ritmos, Gym Local, Full Local",Rivadavia,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,RIVADAVIA,0,CAMPICHUELO,Caballito,Comuna 6,,
75,-58.4388583864665,-34.6352545707672,6,Actividades deportivas en Plazas,"Acondicionamiento Físico, Ritmos, Aero Local, Streching, Gimnasia Correctiva",Chacabuco,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,ASAMBLEA,0,"MITRE, EMILIO",Parque Chacabuco,Comuna 7,,
76,-58.4570833143418,-34.6154689585053,5,Actividades deportivas en Plazas,"Ritmos, Gym Local, Streching, Eutonia, Circuit Training.",Irlanda,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,NEUQUEN,0,"SEGUI, F. J., ALTE.",Caballito,Comuna 6,,
77,-58.4668465038559,-34.6647810732265,4,Actividades deportivas en Plazas,Aero Local,Indoamericano,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,CASTAÑARES AV.,0,ESCALADA AV.,Villa Soldati,Comuna 8,,
78,-58.4376220504687,-34.6077089022971,3,Actividades deportivas en Plazas,"Gimnasia, Newcom, Gym Local, Aero Local, Acondicionamiento Físico y Ritmos Latinos",Centenario,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,FRANKLIN,0,"MARECHAL, LEOPOLDO",Caballito,Comuna 6,,
79,-58.5203623089291,-34.6288640737796,2,Actividades deportivas en Plazas,"Cardio Gym, Aero Local, Acondicionamiento Físico, Gym Total y Streching",Ciudad Banff,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Lisboa,0,Lascano,Versalles,Comuna 10,,
80,-58.4758738372334,-34.645478218296,1,Actividades deportivas en Plazas,"Acondicionamiento Físico, Gym Local, Aero Gym, Ritmos, Streching, Conciencia Corporal,",Avellaneda,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"BILBAO, FRANCISCO AV.",0,LACARRA,Parque Avellaneda,Comuna 9,,
